Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Daily),Environment:Site Outdoor Air Dewpoint Temperature [C](Daily),Environment:Site Outdoor Air Wetbulb Temperature [C](Daily),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Daily),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Daily),Environment:Site Solar Azimuth Angle [deg](Daily),Environment:Site Solar Altitude Angle [deg](Daily),MYDHW_1_WATERHEATER:Water Heater Heating Energy [J](Daily),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),Electricity:Facility [J](Hourly) 
 01/06  24:00:00,-3.4229166666666675,-4.572395833333333,-3.8650041755420497,16.927083333333332,4.8203125,171.39382734271808,-19.90459616452433,53843682.84051449,7375319.327480495,0.0,7767288.486108683 
 01/07  01:00:00,,,,,,,,,7846504.353262311,0.0,4566240.878071144 
 01/07  02:00:00,,,,,,,,,8438519.222196328,0.0,4566240.878071144 
 01/07  03:00:00,,,,,,,,,9357273.109119626,0.0,7220905.3795578275 
 01/07  04:00:00,,,,,,,,,10424715.873588078,0.0,4566240.878071144 
 01/07  05:00:00,,,,,,,,,11751424.269242339,0.0,4566240.878071144 
 01/07  06:00:00,,,,,,,,,12805478.288888238,0.0,4566240.878071144 
 01/07  07:00:00,,,,,,,,,13885646.895063154,0.0,8467854.529166846 
 01/07  08:00:00,,,,,,,,,41116515.39484509,0.0,9174842.420807533 
 01/07  09:00:00,,,,,,,,,36782682.532444075,0.0,9447370.271971688 
 01/07  10:00:00,,,,,,,,,32766411.998914283,0.0,8218608.131537258 
 01/07  11:00:00,,,,,,,,,29253369.416559834,0.0,7363825.367807452 
 01/07  12:00:00,,,,,,,,,26354668.841946535,0.0,7375568.90545561 
 01/07  13:00:00,,,,,,,,,24382029.25049446,0.0,4566240.878071144 
 01/07  14:00:00,,,,,,,,,21350663.08173406,0.0,7375382.347561134 
 01/07  15:00:00,,,,,,,,,18394619.42234394,0.0,4566240.878071144 
