ogc_fid,zone_name,param_name,param_value
4136732,Zone1_LeftPerimeter,ventilation_flow_m3_s,0.009267852885778586
4136732,Zone1_LeftPerimeter,ventilation_schedule_name,VentSched_DayNight
4136732,Zone1_Core,infiltration_object_name,Infil_non_residential_D_Zone1_Core
4136732,Zone1_Core,infiltration_object_type,ZONEINFILTRATION:DESIGNFLOWRATE
4136732,Zone1_Core,infiltration_flow_m3_s,0.00040495681634872
4136732,Zone1_Core,infiltration_schedule_name,AlwaysOnSched
4136732,Zone1_Core,ventilation_object_name,Zone1_Core Ideal Loads
4136732,Zone1_Core,ventilation_object_type,ZONEHVAC:IDEALLOADSAIRSYSTEM
4136732,Zone1_Core,ventilation_flow_m3_s,0.009267852885778586
4136732,Zone1_Core,ventilation_schedule_name,VentSched_DayNight
4136732,Zone2_FrontPerimeter,infiltration_object_name,Infil_non_residential_D_Zone2_FrontPerimeter
4136732,Zone2_FrontPerimeter,infiltration_object_type,ZONEINFILTRATION:DESIGNFLOWRATE
4136732,Zone2_FrontPerimeter,infiltration_flow_m3_s,0.00040495681634872
4136732,Zone2_FrontPerimeter,infiltration_schedule_name,AlwaysOnSched
4136732,Zone2_FrontPerimeter,ventilation_object_name,Zone2_FrontPerimeter Ideal Loads
4136732,Zone2_FrontPerimeter,ventilation_object_type,ZONEHVAC:IDEALLOADSAIRSYSTEM
4136732,Zone2_FrontPerimeter,ventilation_flow_m3_s,0.009267852885778586
4136732,Zone2_FrontPerimeter,ventilation_schedule_name,VentSched_DayNight
4136732,Zone2_RightPerimeter,infiltration_object_name,Infil_non_residential_D_Zone2_RightPerimeter
4136732,Zone2_RightPerimeter,infiltration_object_type,ZONEINFILTRATION:DESIGNFLOWRATE
4136732,Zone2_RightPerimeter,infiltration_flow_m3_s,0.00040495681634872
4136732,Zone2_RightPerimeter,infiltration_schedule_name,AlwaysOnSched
4136732,Zone2_RightPerimeter,ventilation_object_name,Zone2_RightPerimeter Ideal Loads
4136732,Zone2_RightPerimeter,ventilation_object_type,ZONEHVAC:IDEALLOADSAIRSYSTEM
4136732,Zone2_RightPerimeter,ventilation_flow_m3_s,0.009267852885778586
4136732,Zone2_RightPerimeter,ventilation_schedule_name,VentSched_DayNight
4136732,Zone2_RearPerimeter,infiltration_object_name,Infil_non_residential_D_Zone2_RearPerimeter
