param,mu_star,mu_star_conf,sigma
inter_floor_U_value__inter_floor_U_value,0.4857263456855435,0.22321272522833555,0.6091319215138534
inter_floor_area_m2__inter_floor_area_m2,23.934835033254423,0.22025607515014148,0.40011243411487313
inter_floor_opq__Roughness,0.9828988739638589,0.30245266915656893,0.5137076764112465
inter_floor_opq__Thickness,0.41774047989711105,0.21289700929153774,0.5741621003240877
inter_floor_opq__Conductivity,0.5044389364844392,0.21009424039248012,0.6353340503174861
inter_floor_opq__Density,100.04680298417952,0.28368883596471767,0.4967280588365205
inter_floor_opq__Specific_Heat,200.20694420104627,0.358989590792191,0.6565983778275641
inter_floor_opq__Thermal_Absorptance,0.6563126908917184,0.17921532692522907,0.6200802713098356
inter_floor_opq__Solar_Absorptance,0.5477692770989961,0.2543510138719518,0.6609383646318382
inter_floor_opq__Visible_Absorptance,0.49728759924801125,0.2642717302825234,0.5669399765735113
