Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Daily),Environment:Site Outdoor Air Dewpoint Temperature [C](Daily),Environment:Site Outdoor Air Wetbulb Temperature [C](Daily),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Daily),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Daily),Environment:Site Solar Azimuth Angle [deg](Daily),Environment:Site Solar Altitude Angle [deg](Daily),MYDHW_1_WATERHEATER:Water Heater Heating Energy [J](Daily),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),Electricity:Facility [J](Hourly) 
 01/06  18:00:00,,,,,,,,,21023853.69771891,0.0,7843491.024432723 
 01/06  19:00:00,,,,,,,,,20554590.720887054,0.0,7844274.445725256 
 01/06  20:00:00,,,,,,,,,535799.0855086263,0.0,7843251.291993397 
 01/06  21:00:00,,,,,,,,,2901463.450111977,0.0,10136065.9441406 
 01/06  22:00:00,,,,,,,,,3827385.129872122,0.0,8730233.179292059 
 01/06  23:00:00,,,,,,,,,4282039.13076859,0.0,7767436.658820681 
 01/06  24:00:00,-3.4229166666666675,-4.572395833333333,-3.8650041755420497,16.927083333333332,4.8203125,171.39382734271808,-19.90459616452433,53843727.785008974,4661820.244121708,0.0,7767289.181971828 
 01/07  01:00:00,,,,,,,,,5051645.860609115,0.0,4566240.878071144 
 01/07  02:00:00,,,,,,,,,5552368.468468482,0.0,4566240.878071144 
 01/07  03:00:00,,,,,,,,,6300155.9239168875,0.0,7220905.746551424 
 01/07  04:00:00,,,,,,,,,7159449.082721094,0.0,4566240.878071144 
 01/07  05:00:00,,,,,,,,,8215112.568386098,0.0,4566240.878071144 
 01/07  06:00:00,,,,,,,,,9062724.522626743,0.0,4566240.878071144 
 01/07  07:00:00,,,,,,,,,9931156.329595493,0.0,8469956.145398818 
 01/07  08:00:00,,,,,,,,,35562367.78133485,0.0,9174841.931744507 
 01/07  09:00:00,,,,,,,,,31892598.051154636,0.0,9444983.237228043 
 01/07  10:00:00,,,,,,,,,28401245.8426942,0.0,8221002.27159141 
 01/07  11:00:00,,,,,,,,,25416719.58066041,0.0,7361963.162108414 
 01/07  12:00:00,,,,,,,,,22963180.01572931,0.0,7375567.501572631 
 01/07  13:00:00,,,,,,,,,21268900.709975533,0.0,4566240.878071144 
 01/07  14:00:00,,,,,,,,,18872315.747353476,0.0,7375381.278470021 
 01/07  15:00:00,,,,,,,,,16721162.86313168,0.0,4566240.878071144 
 01/07  16:00:00,,,,,,,,,17732504.58861072,0.0,7375245.5324994195 
 01/07  17:00:00,,,,,,,,,20795021.968783744,0.0,5702811.239540474 
 01/07  18:00:00,,,,,,,,,21468662.02950798,0.0,9798587.180982018 
 01/07  19:00:00,,,,,,,,,21375440.672378033,0.0,7843453.386144189 
 01/07  20:00:00,,,,,,,,,1000745.7708732736,0.0,7843417.81158859 
 01/07  21:00:00,,,,,,,,,3571577.3488678853,0.0,7843525.536468819 
 01/07  22:00:00,,,,,,,,,4429886.810161793,0.0,7768097.171758068 
 01/07  23:00:00,,,,,,,,,4988633.848407405,0.0,7767229.3268385045 
 01/07  24:00:00,-5.505729166666664,-6.389583333333333,-5.813797856992925,18.200520833333332,80.8359375,171.29259514926343,-19.800915512093123,51055605.918673225,5473423.092739248,0.0,7767577.487472119 
 01/08  01:00:00,,,,,,,,,5978023.307420663,0.0,7220942.154597934 
 01/08  02:00:00,,,,,,,,,6406757.902456583,0.0,4566240.878071144 
 01/08  03:00:00,,,,,,,,,6784358.8220620705,0.0,4566240.878071144 
 01/08  04:00:00,,,,,,,,,7252218.414532552,0.0,7220416.872668491 
 01/08  05:00:00,,,,,,,,,7605133.556326313,0.0,4566240.878071144 
